NTA Code,Value
BK88,13
QN51,1
QN27,3
QN07,2
MN06,8
BK25,10
BX59,7
BX10,7
BX52,8
QN41,2
QN08,10
QN25,9
QN06,0
BK44,3
BK41,9
BK95,20
BX33,31
BK69,101
QN33,1
BK43,6
QN61,16
QN01,18
BK26,7
BK29,9
BK72,23
BK75,99
BK35,110
BK46,8
BK79,42
BK61,133
BK63,46
BK96,14
BX31,8
BK93,1
BK91,8
QN20,42
BK78,54
BK77,108
BK68,32
QN68,22
BX08,30
BX46,6
BX55,23
BK30,9
BK23,0
QN18,4
QN19,5
BX28,23
QN26,14
QN38,1
SI99,0
MN15,19
SI12,3
QN34,9
QN43,2
BX41,25
QN21,8
QN29,19
QN66,2
BX62,28
BX07,11
BK85,40
QN55,35
BK27,6
BK28,14
SI48,3
QN30,14
BX44,29
QN50,22
QN23,1
BK73,61
QN37,1
QN63,9
BX98,0
SI28,11
BK81,19
QN54,14
QN62,5
MN27,21
SI01,10
MN25,7
QN17,11
MN14,44
MN17,24
MN40,10
QN53,6
SI54,13
BK60,64
BX26,31
BK21,12
BX22,3
BX29,6
BK40,19
BK64,111
BK42,74
BX27,9
BK50,14
BK58,14
QN44,4
QN45,1
BX06,15
QN35,16
QN60,0
BX09,15
QN28,25
BK37,126
SI11,8
SI32,1
BK83,10
MN03,83
BK82,43
MN32,20
QN48,0
QN52,14
BX34,29
BX39,22
MN22,30
MN28,29
BX01,13
BX35,33
BX75,9
MN21,8
MN01,32
MN24,50
MN23,54
BK09,11
MN13,47
BX40,8
MN12,150
BX43,27
BX05,51
BX03,9
BX13,3
BX17,27
BK17,34
BK19,12
QN10,16
QN12,3
SI08,4
QN03,4
QN05,3
SI37,3
SI25,5
SI45,4
BK90,53
SI14,1
QN70,38
SI36,8
QN15,9
BK38,25
BK45,12
BK99,1
BX49,21
BX99,0
MN50,1
BX37,38
BK33,26
BK76,47
MN20,13
MN04,48
QN46,3
BX14,38
BX63,17
MN36,48
MN35,24
MN09,111
MN33,37
MN19,11
QN31,38
SI07,18
QN98,0
MN31,39
QN71,7
MN99,0
QN72,3
QN47,8
SI05,4
SI24,5
MN11,87
MN34,83
BK34,16
QN22,22
QN49,7
QN02,1
QN76,15
QN42,1
QN99,0
BX30,5
BK31,14
BK32,33
QN56,22
QN57,3
BX36,24
SI35,7
SI22,20
